schema_table,description
whse_fish.bath_survey_map_sheets_svw,null
whse_fish.bath_lake_bathymetric_sp,"Digital Lake Bathymetric Maps georeferenced to the provincial 1:20000 BC Freshwater Atlas Lakes spatial layer.  Each lake depth contour is represented by a polygon feature."
whse_mineral_tenure.geol_bedrock_unit_poly_svw,"A GEOL_BEDROCK_POLY_SVW joins the BEDROCK UNITs table with the BEDROCK POLY table."
whse_wildlife_management.crims_benthic_marine_ecounits,null
whse_environmental_monitoring.shzn_bioslide_locs_sp,"Locations of bioslides including links to photos depicting the biology of the shoreunits."
whse_terrestrial_ecology.ste_ter_bioterrain_polys_svw,"STE_TER_BIOTERRAIN_POLYS_SVW contains Bioterrain (TBT) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TBT divides the landscape into units using the Terrain Classification System for British Columbia and ecological criteria. Polygon attributes include (but are not limited to) surficial material surface expression geomorphological processes drainage class and aspect. TBT methods include manual air photo interpretation supported by selective field checking. Bioterrain mapping is integral to ecosystem mapping and its derivative products. This layer is derived from the STE_TEI_ATTRIBUTE_POLYS_SP layer by filtering on the PROJECT_TYPE attribute."
whse_wildlife_management.crims_bird_colonies,null
whse_wildlife_management.crims_black_oystercatchers,null
whse_waste.site_borehole_lithology_svw,"SITE_BOREHOLE_LITHOLOGY_SVW contains data on lithology hydraulic conductivity and water levels taken from borehole logs. This layer is a point feature and available to Public."
whse_imagery_and_base_maps.gsr_tmbr_prcssing_fac_sv,"GSR_TMBR_PRCSSING_FAC_SV is a spatially enabled layer. This dataset is a compilation of all open or presumed open primary manufacturing facilities in the Province of BC that produce wood products"
whse_land_and_natural_resource.prot_bans_and_prohibitions_sp,"The dataset represents BC Wildfire bans and prohibiltions that are coverd under the Wildfire Act.  The dataset represents restrictions bans or prohibitions as local fire hazards or dangers weather conditions and fire activity demand.  Wildfire restirctions bans and prohibitions apply to all public and private land unless otherwise specified e.g. local gov't bylaw. Please check with local government authorities for any other restrictions before lighting any fire."
whse_terrestrial_ecology.bei_broad_ecosystem_inventory,null
whse_terrestrial_ecology.bei_wildlife_habitat_birds_mv,
whse_terrestrial_ecology.bei_wildlife_habitat_mamls_mv,
whse_basemapping.trim_ebm_buildings,null
whse_basemapping.trim_ebm_builtupareas,null
whse_human_cultural_economic.ceei_pri_ind_pcp_2007_cm_sp,"Spatial layer that stores Primary Indicator Per Capital values and their corresponding geographical location for 2007 Community CEEI reports. The purpose of Community Energy and Emissions Inventory (CEEI) Reports is to provide local governments and other users with accurate consistent and relevant community-level energy and greenhouse gas (GHG) emissions information."
whse_human_cultural_economic.ceei_pri_ind_pcp_2007_rd_sp,"Spatial layer that stores Primary Indicator Per Capital values and their corresponding geographical location for 2007 Regional District CEEI reports. The purpose of Community Energy and Emissions Inventory (CEEI) Reports is to provide local governments and other users with accurate consistent and relevant community-level energy and greenhouse gas (GHG) emissions information."
whse_human_cultural_economic.ceei_pri_ind_ttl_2007_cm_sp,"Spatial layer that stores Primary Indicator Total values and their corresponding geographical location for 2007 Community CEEI reports. The purpose of Community Energy and Emissions Inventory (CEEI) Reports is to provide local governments and other users with accurate consistent and relevant community-level energy and greenhouse gas (GHG) emissions information."
whse_human_cultural_economic.ceei_pri_ind_ttl_2007_rd_sp,"Spatial layer that stores Primary Indicator Total values and their corresponding geographical location for 2007 Regional District CEEI reports. The purpose of Community Energy and Emissions Inventory (CEEI) Reports is to provide local governments and other users with accurate consistent and relevant community-level energy and greenhouse gas (GHG) emissions information."
whse_wildlife_management.crims_sealion_haulouts_poly,null
whse_wildlife_management.crims_sealion_haulouts_point,null
reg_land_and_natural_resource.wld_caribou_hab_e2001_car_sp,"Spring Summer Early Winter and Late Winter habitat model for mountain caribou in the eastern Cariboo Region/Columbia Highlands/Northern Columbia Mountains."
reg_land_and_natural_resource.wld_caribou_hab_w2001_car_sp,"Summer Winter Alpine and Winter Forest Dwelling habitat model for caribou in the Western Cariboo Region/Itcha Ilgachuz."
reg_land_and_natural_resource.wld_caribou_hab_w2017_car_sp,"Summer/Fall and Winter/Forest-Dwelling 2017 habitat model for caribou in the Itcha Ilgachuz area of the Western Cariboo Region."
whse_wildlife_inventory.gcpb_caribou_population_sp,"This object consists of polygonal representation of caribou population units in the province of British Columbia and surrounding jurisdictions in Canada.  The polygons can be multipart."
whse_human_cultural_economic.bcha_chsa_population_age_sv,"Age characteristics by sex and age groups (100% data)."
whse_human_cultural_economic.bcha_chsa_population_age_ph_sv,"Age characteristics in private households by sex and age groups (25% sample data)."
whse_human_cultural_economic.bcha_chsa_family_size_sv,"Census families in private households by family size marital status number of parents and number of children (100% data)"
whse_human_cultural_economic.bcha_chsa_marital_status_ph_sv,"Marital status for persons aged 15 and over in private households by sex and relationship type (25% sample data)."
whse_human_cultural_economic.bcha_chsa_marital_status_sv,"Marital status for persons aged 15 and over by sex and relationship type (100% data)."
